,Papers,citedByCount,GWAS-H,Betweenness,Degree,Country,Institution,CitePercentile
Alanna C Morrison,37,2779,21,0.0,0.106,,,0.9548
Helena Schmidt,33,2530,21,0.001,0.125,,,0.9489
J Brent Richards,36,2219,21,0.0,0.084,,,0.9403
Harm-Jan Westra,25,3710,21,0.001,0.109,,,0.9683
Kurt Lohman,29,1853,21,0.0,0.107,,,0.9268
Sharon L R Kardia,42,2101,21,0.001,0.128,,,0.9363
Richa Saxena,30,5821,21,0.001,0.094,,,0.983
Josef Coresh,37,3496,21,0.0,0.07,,,0.9652
Henri Wallaschofski,32,3511,21,0.0,0.11,,,0.9656
Kimberly F Doheny,28,3162,21,0.003,0.08,,,0.9607
Gisli Masson,31,3199,21,0.0,0.041,,,0.9614
Hermann Brenner,40,2539,21,0.001,0.112,,,0.9492
Guo Li,34,2215,21,0.0,0.105,,,0.9402
J Wouter Jukema,51,3503,21,0.001,0.165,,,0.9654
Christopher J Hammond,32,1690,20,0.0,0.044,,,0.9182
Peter Broderick,34,3167,20,0.0,0.032,,,0.9608
Albert Tenesa,26,2537,20,0.001,0.052,,,0.9491
Albert Vernon Smith,33,5114,20,0.0,0.118,,,0.9794
Terri L Young,34,1258,20,0.0,0.049,,,0.8809
